,Class Index,Class,Generic Class
0,0,Abyssinian,Cat
1,1,american_bulldog,Dog
2,2,american_pit_bull_terrier,Dog
3,3,basset_hound,Dog
4,4,beagle,Dog
5,5,Bengal,Cat
6,6,Birman,Cat
7,7,Bombay,Cat
8,8,boxer,Dog
9,9,British_Shorthair,Cat
10,10,chihuahua,Dog
11,11,Egyptian_Mau,Cat
12,12,english_cocker_spaniel,Dog
13,13,english_setter,Dog
14,14,german_shorthaired,Dog
15,15,great_pyrenees,Dog
16,16,havanese,Dog
17,17,japanese_chin,Dog
18,18,keeshond,Dog
19,19,leonberger,Dog
20,20,Maine_Coon,Cat
21,21,miniature_pinscher,Dog
22,22,newfoundland,Dog
23,23,Persian,Cat
24,24,pomeranian,Dog
25,25,pug,Dog
26,26,Ragdoll,Cat
27,27,Russian_Blue,Cat
28,28,saint_bernard,Dog
29,29,samoyed,Dog
30,30,scottish_terrier,Dog
31,31,shiba_inu,Dog
32,32,Siamese,Cat
33,33,Sphynx,Cat
34,34,staffordshire_bull_terrier,Dog
35,35,wheaten_terrier,Dog
36,36,yorkshire_terrier,Dog
